2025-06-30 00:09:10,12s,true
2025-06-30 00:10:36,3s,false
2025-06-30 00:14:21,4s,true
2025-06-30 00:14:50,3s,false
2025-06-30 00:20:29,3s,false
2025-06-30 00:21:03,3s,false
2025-06-30 00:33:07,5s,true,1
2025-06-30 00:34:06,7s,true,1
2025-06-30 00:39:32,4s,true,1
2025-07-01 18:52:45,8s,true,1
2025-07-01 18:57:47,4s,true,1
2025-07-01 18:59:49,4s,true,1
2025-07-01 19:16:55,4s,true,1
2025-07-01 23:44:47,8s,true,1
2025-07-02 00:20:55,4s,true,1
2025-07-02 00:25:01,3s,true,1
2025-07-02 00:40:46,4s,true,1
2025-07-02 00:45:03,5s,true,1
2025-07-02 01:05:20,4s,true,1
